ORDER_ID,CUSTOMER,REGION,AMOUNT_TXT,QTY,ORDER_DATE,STATUS
1,Acme Corporation,EAST,1500.00,2,2026-08-03,SHIPPED
2,Bolt Ltd,EAST,250.005,1,2026-08-04,SHIPPED
3,Cinder Works,NORTH,33.35,10,2026-08-05,SHIPPED
4,Delta,WEST,900.00,3,2026-08-06,SHIPPED
5,Echo Supplies,\N,120.00,1,2026-08-07,HOLD
6,Foxtrot,SOUTH,abc,4,2026-08-10,SHIPPED
7,Gamma Industries,SOUTH,"1,200.50",2,2026-08-11,SHIPPED
8,Helio,NORTH,99.99,5,2026-08-12,SHIPPED
9,Iris Trading,NORTH,100.00,1,2026-08-13,SHIPPED
10,Juno,EAST,1000.00,1,2026-08-14,SHIPPED
11,Kilo Mercantile,EAST,45.50,12,2026-08-17,SHIPPED
12,Lima,WEST,75.00,1,2026-08-18,CANCELLED
13,Mango,SOUTH,0.00,\N,2026-08-19,SHIPPED
14,Nova,NORTH,-50.25,1,2026-08-20,RETURNED
15,Omega Partners,EAST,2500.75,20,2026-08-21,SHIPPED
16,Papa,SOUTH,150.00,10,2026-08-24,SHIPPED
17,Quebec Holdings,NORTH,310.10,9,2026-08-25,SHIPPED
18,Romeo,EAST,,1,2026-08-26,SHIPPED
19,Sierra Logistics,SOUTH,888.88,11,2026-08-27,SHIPPED
20,Tango,WEST,60.00,1,2026-08-28,SHIPPED
